sample_id,source_name,domain,language,compressor,rate,protected,mode,original_tokens,candidate_tokens,gross_saved_tokens,gross_saving_ratio,safe_effective_saved_tokens,safe_saving_ratio,guard_status,protected_spans,protected_retained,fallback,fallback_reason,latency_ms
m11-academic-vi-unsafe-10,SciFact,academic,vi,rule-based,0.33,False,R6_direct_compressor,438,229,209,0.4771689497716895,0,0.0,NOT_RUN,11,False,False,,0.15750003512948751
m11-academic-vi-unsafe-10,SciFact,academic,vi,rule-based,0.33,False,R7_direct_guard,438,229,209,0.4771689497716895,0,0.0,FAIL,11,False,False,,11.558700003661215
m11-academic-vi-unsafe-10,SciFact,academic,vi,rule-based,0.33,False,R8_api_guard,438,229,209,0.4771689497716895,0,0.0,FAIL,11,False,False,,12.852599960751832
m11-academic-vi-unsafe-10,SciFact,academic,vi,rule-based,0.33,False,R9_direct_api_guard,438,229,209,0.4771689497716895,0,0.0,FAIL,11,False,False,,13.010099995881319
m11-business-en-safe-11,ContractNLI,business,en,rule-based,0.33,True,R6_direct_compressor,405,395,10,0.024691358024691357,0,0.0,NOT_RUN,1,True,False,,0.18970004748553038
m11-business-en-safe-11,ContractNLI,business,en,rule-based,0.33,True,R7_direct_guard,405,395,10,0.024691358024691357,0,0.0,FAIL,1,True,False,,14.586700010113418
m11-business-en-safe-11,ContractNLI,business,en,rule-based,0.33,True,R8_api_guard,405,395,10,0.024691358024691357,0,0.0,FAIL,1,True,False,,17.01299997512251
m11-business-en-safe-11,ContractNLI,business,en,rule-based,0.33,True,R9_direct_api_guard,405,395,10,0.024691358024691357,0,0.0,FAIL,1,True,False,,17.20270002260804
m11-business-en-safe-11,ContractNLI,business,en,rule-based,0.33,False,R6_direct_compressor,405,201,204,0.5037037037037037,0,0.0,NOT_RUN,1,False,False,,0.3173999721184373
m11-business-en-safe-11,ContractNLI,business,en,rule-based,0.33,False,R7_direct_guard,405,201,204,0.5037037037037037,0,0.0,FAIL,1,False,False,,10.829300037585199
m11-business-en-safe-11,ContractNLI,business,en,rule-based,0.33,False,R8_api_guard,405,201,204,0.5037037037037037,0,0.0,FAIL,1,False,False,,13.623000006191432
m11-business-en-safe-11,ContractNLI,business,en,rule-based,0.33,False,R9_direct_api_guard,405,201,204,0.5037037037037037,0,0.0,FAIL,1,False,False,,13.94039997830987
m11-business-vi-unsafe-14,ContractNLI,business,vi,rule-based,0.33,True,R6_direct_compressor,463,216,247,0.5334773218142549,0,0.0,NOT_RUN,1,True,False,,0.2788000274449587
m11-business-vi-unsafe-14,ContractNLI,business,vi,rule-based,0.33,True,R7_direct_guard,463,216,247,0.5334773218142549,0,0.0,FAIL,1,True,False,,11.064100079238415
m11-business-vi-unsafe-14,ContractNLI,business,vi,rule-based,0.33,True,R8_api_guard,463,216,247,0.5334773218142549,0,0.0,FAIL,1,True,False,,12.372300028800964
